"service_id","date","exception_type"
"GO401_120000414","20120829","1"
"GO401_120000414","20120830","1"
"GO401_120000414","20120831","1"
"GO401_120000416","20120514","1"
"GO401_120000416","20120515","1"
"GO401_120000416","20120516","1"
"GO401_120000416","20120518","1"
"GO401_120000416","20120521","1"
"GO401_120000416","20120522","1"
"GO401_120000416","20120523","1"
"GO401_120000416","20120524","1"
"GO401_120000416","20120525","1"
"GO401_120000416","20120529","1"
"GO401_120000416","20120530","1"
"GO401_120000416","20120531","1"
"GO401_120000416","20120601","1"
"GO401_120000416","20120605","1"
"GO401_120000416","20120606","1"
"GO401_120000416","20120607","1"
"GO401_120000416","20120608","1"
"GO401_120000416","20120611","1"
"GO401_120000416","20120612","1"
"GO401_120000416","20120613","1"
"GO401_120000416","20120614","1"
"GO401_120000416","20120615","1"
"GO401_120000416","20120618","1"
"GO401_120000416","20120619","1"
"GO401_120000416","20120620","1"
"GO401_120000416","20120621","1"
"GO401_120000416","20120622","1"
"GO401_120000416","20120625","1"
"GO401_120000416","20120626","1"
"GO401_120000416","20120627","1"
"GO401_120000416","20120628","1"
"GO401_120000416","20120629","1"
"GO401_120000416","20120702","1"
"GO401_120000416","20120703","1"
"GO401_120000416","20120705","1"
"GO401_120000416","20120706","1"
"GO401_120000416","20120709","1"
"GO401_120000416","20120710","1"
"GO401_120000416","20120711","1"
"GO401_120000416","20120712","1"
"GO401_120000416","20120713","1"
"GO401_120000416","20120716","1"
"GO401_120000416","20120717","1"
"GO401_120000416","20120718","1"
"GO401_120000416","20120719","1"
"GO401_120000416","20120720","1"
"GO401_120000416","20120723","1"
"GO401_120000416","20120724","1"
"GO401_120000416","20120726","1"
"GO401_120000416","20120727","1"
"GO401_120000416","20120730","1"
"GO401_120000416","20120731","1"
"GO401_120000416","20120801","1"
"GO401_120000416","20120802","1"
"GO401_120000416","20120803","1"
"GO401_120000416","20120806","1"
"GO401_120000416","20120807","1"
"GO401_120000416","20120808","1"
"GO401_120000416","20120810","1"
"GO401_120000416","20120813","1"
"GO401_120000416","20120814","1"
"GO401_120000416","20120815","1"
"GO401_120000416","20120816","1"
"GO401_120000416","20120817","1"
"GO401_120000416","20120820","1"
"GO401_120000416","20120821","1"
"GO401_120000416","20120822","1"
"GO401_120000416","20120824","1"
"GO401_120000416","20120827","1"
"GO401_120000416","20120828","1"
"GO401_120000416","20120829","1"
"GO401_120000416","20120830","1"
"GO401_120000416","20120831","1"
"GO401_120000418","20120514","1"
"GO401_120000418","20120515","1"
"GO401_120000418","20120516","1"
"GO401_120000418","20120518","1"
"GO401_120000418","20120521","1"
"GO401_120000418","20120522","1"
"GO401_120000418","20120523","1"
"GO401_120000418","20120524","1"
"GO401_120000418","20120525","1"
"GO401_120000418","20120529","1"
"GO401_120000418","20120530","1"
"GO401_120000418","20120531","1"
"GO401_120000418","20120601","1"
"GO401_120000418","20120605","1"
"GO401_120000418","20120606","1"
"GO401_120000418","20120607","1"
"GO401_120000418","20120608","1"
"GO401_120000418","20120611","1"
"GO401_120000418","20120612","1"
"GO401_120000418","20120613","1"
"GO401_120000418","20120614","1"
"GO401_120000418","20120615","1"
"GO401_120000418","20120618","1"
"GO401_120000418","20120619","1"
"GO401_120000418","20120620","1"
"GO401_120000418","20120621","1"
"GO401_120000418","20120622","1"
"GO401_120000418","20120625","1"
"GO401_120000418","20120626","1"
"GO401_120000418","20120627","1"
"GO401_120000418","20120628","1"
"GO401_120000418","20120629","1"
"GO401_120000418","20120702","1"
"GO401_120000418","20120703","1"
"GO401_120000418","20120705","1"
"GO401_120000418","20120706","1"
"GO401_120000418","20120709","1"
"GO401_120000418","20120710","1"
"GO401_120000418","20120711","1"
"GO401_120000418","20120712","1"
"GO401_120000418","20120713","1"
"GO401_120000418","20120716","1"
"GO401_120000418","20120717","1"
"GO401_120000418","20120718","1"
"GO401_120000418","20120719","1"
"GO401_120000418","20120720","1"
"GO401_120000418","20120723","1"
"GO401_120000418","20120724","1"
"GO401_120000418","20120726","1"
"GO401_120000418","20120727","1"
"GO401_120000418","20120730","1"
"GO401_120000418","20120731","1"
"GO401_120000418","20120801","1"
"GO401_120000418","20120802","1"
"GO401_120000418","20120803","1"
"GO401_120000418","20120806","1"
"GO401_120000418","20120807","1"
"GO401_120000418","20120808","1"
"GO401_120000418","20120810","1"
"GO401_120000418","20120813","1"
"GO401_120000418","20120814","1"
"GO401_120000418","20120815","1"
"GO401_120000418","20120816","1"
"GO401_120000418","20120817","1"
"GO401_120000418","20120820","1"
"GO401_120000418","20120821","1"
"GO401_120000418","20120822","1"
"GO401_120000418","20120824","1"
"GO401_120000418","20120827","1"
"GO401_120000418","20120828","1"
"GO401_120000418","20120829","1"
"GO401_120000418","20120830","1"
"GO401_120000418","20120831","1"
"GO401_120000420","20120514","1"
"GO401_120000420","20120515","1"
"GO401_120000420","20120516","1"
"GO401_120000420","20120518","1"
"GO401_120000420","20120521","1"
"GO401_120000420","20120522","1"
"GO401_120000420","20120523","1"
"GO401_120000420","20120524","1"
"GO401_120000420","20120525","1"
"GO401_120000420","20120529","1"
"GO401_120000420","20120530","1"
"GO401_120000420","20120531","1"
"GO401_120000420","20120601","1"
"GO401_120000420","20120605","1"
"GO401_120000420","20120606","1"
"GO401_120000420","20120607","1"
"GO401_120000420","20120608","1"
"GO401_120000420","20120611","1"
"GO401_120000420","20120612","1"
"GO401_120000420","20120613","1"
"GO401_120000420","20120614","1"
"GO401_120000420","20120615","1"
"GO401_120000420","20120618","1"
"GO401_120000420","20120619","1"
"GO401_120000420","20120620","1"
"GO401_120000420","20120621","1"
"GO401_120000420","20120622","1"
"GO401_120000420","20120625","1"
"GO401_120000420","20120626","1"
"GO401_120000420","20120627","1"
"GO401_120000420","20120628","1"
"GO401_120000420","20120629","1"
"GO401_120000420","20120702","1"
"GO401_120000420","20120703","1"
"GO401_120000420","20120705","1"
"GO401_120000420","20120706","1"
"GO401_120000420","20120709","1"
"GO401_120000420","20120710","1"
"GO401_120000420","20120711","1"
"GO401_120000420","20120712","1"
"GO401_120000420","20120713","1"
"GO401_120000420","20120716","1"
"GO401_120000420","20120717","1"
"GO401_120000420","20120718","1"
"GO401_120000420","20120719","1"
"GO401_120000420","20120720","1"
"GO401_120000420","20120723","1"
"GO401_120000420","20120724","1"
"GO401_120000420","20120726","1"
"GO401_120000420","20120727","1"
"GO401_120000420","20120730","1"
"GO401_120000420","20120731","1"
"GO401_120000420","20120801","1"
"GO401_120000420","20120802","1"
"GO401_120000420","20120803","1"
"GO401_120000420","20120806","1"
"GO401_120000420","20120807","1"
"GO401_120000420","20120808","1"
"GO401_120000420","20120810","1"
"GO401_120000420","20120813","1"
"GO401_120000420","20120814","1"
"GO401_120000420","20120815","1"
"GO401_120000420","20120816","1"
"GO401_120000420","20120817","1"
"GO401_120000420","20120820","1"
"GO401_120000420","20120821","1"
"GO401_120000420","20120822","1"
"GO401_120000420","20120824","1"
"GO401_120000420","20120827","1"
"GO401_120000420","20120828","1"
"GO401_120000420","20120829","1"
"GO401_120000420","20120830","1"
"GO401_120000420","20120831","1"
"GO401_120000422","20120514","1"
"GO401_120000422","20120515","1"
"GO401_120000422","20120516","1"
"GO401_120000422","20120518","1"
"GO401_120000422","20120521","1"
"GO401_120000422","20120522","1"
"GO401_120000422","20120523","1"
"GO401_120000422","20120524","1"
"GO401_120000422","20120525","1"
"GO401_120000422","20120529","1"
"GO401_120000422","20120530","1"
"GO401_120000422","20120531","1"
"GO401_120000422","20120601","1"
"GO401_120000422","20120605","1"
"GO401_120000422","20120606","1"
"GO401_120000422","20120607","1"
"GO401_120000422","20120608","1"
"GO401_120000422","20120611","1"
"GO401_120000422","20120612","1"
"GO401_120000422","20120613","1"
"GO401_120000422","20120614","1"
"GO401_120000422","20120615","1"
"GO401_120000422","20120618","1"
"GO401_120000422","20120619","1"
"GO401_120000422","20120620","1"
"GO401_120000422","20120621","1"
"GO401_120000422","20120622","1"
"GO401_120000422","20120625","1"
"GO401_120000422","20120626","1"
"GO401_120000422","20120627","1"
"GO401_120000422","20120628","1"
"GO401_120000422","20120629","1"
"GO401_120000422","20120702","1"
"GO401_120000422","20120703","1"
"GO401_120000422","20120705","1"
"GO401_120000422","20120706","1"
"GO401_120000422","20120709","1"
"GO401_120000422","20120710","1"
"GO401_120000422","20120711","1"
"GO401_120000422","20120712","1"
"GO401_120000422","20120713","1"
"GO401_120000422","20120716","1"
"GO401_120000422","20120717","1"
"GO401_120000422","20120718","1"
"GO401_120000422","20120719","1"
"GO401_120000422","20120720","1"
"GO401_120000422","20120723","1"
"GO401_120000422","20120724","1"
"GO401_120000422","20120726","1"
"GO401_120000422","20120727","1"
"GO401_120000422","20120730","1"
"GO401_120000422","20120731","1"
"GO401_120000422","20120801","1"
"GO401_120000422","20120802","1"
"GO401_120000422","20120803","1"
"GO401_120000422","20120806","1"
"GO401_120000422","20120807","1"
"GO401_120000422","20120808","1"
"GO401_120000422","20120810","1"
"GO401_120000422","20120813","1"
"GO401_120000422","20120814","1"
"GO401_120000422","20120815","1"
"GO401_120000422","20120816","1"
"GO401_120000422","20120817","1"
"GO401_120000422","20120820","1"
"GO401_120000422","20120821","1"
"GO401_120000422","20120822","1"
"GO401_120000422","20120824","1"
"GO401_120000422","20120827","1"
"GO401_120000422","20120828","1"
"GO401_120000422","20120829","1"
"GO401_120000422","20120830","1"
"GO401_120000422","20120831","1"
"GO401_120000424","20120514","1"
"GO401_120000424","20120515","1"
"GO401_120000424","20120516","1"
"GO401_120000424","20120518","1"
"GO401_120000424","20120521","1"
"GO401_120000424","20120522","1"
"GO401_120000424","20120523","1"
"GO401_120000424","20120524","1"
"GO401_120000424","20120525","1"
"GO401_120000424","20120529","1"
"GO401_120000424","20120530","1"
"GO401_120000424","20120531","1"
"GO401_120000424","20120601","1"
"GO401_120000424","20120605","1"
"GO401_120000424","20120606","1"
"GO401_120000424","20120607","1"
"GO401_120000424","20120608","1"
"GO401_120000424","20120611","1"
"GO401_120000424","20120612","1"
"GO401_120000424","20120613","1"
"GO401_120000424","20120614","1"
"GO401_120000424","20120615","1"
"GO401_120000424","20120618","1"
"GO401_120000424","20120619","1"
"GO401_120000424","20120620","1"
"GO401_120000424","20120621","1"
"GO401_120000424","20120622","1"
"GO401_120000424","20120625","1"
"GO401_120000424","20120626","1"
"GO401_120000424","20120627","1"
"GO401_120000424","20120628","1"
"GO401_120000424","20120629","1"
"GO401_120000424","20120702","1"
"GO401_120000424","20120703","1"
"GO401_120000424","20120705","1"
"GO401_120000424","20120706","1"
"GO401_120000424","20120709","1"
"GO401_120000424","20120710","1"
"GO401_120000424","20120711","1"
"GO401_120000424","20120712","1"
"GO401_120000424","20120713","1"
"GO401_120000424","20120716","1"
"GO401_120000424","20120717","1"
"GO401_120000424","20120718","1"
"GO401_120000424","20120719","1"
